cv_fold,snp_count,model,score
1,1,Logistic Regression,0.57
1,1,Naive Bayes,0.6
1,1,Random Forest,0.57
1,1,SVC,0.57
1,10,Logistic Regression,0.67
1,10,Naive Bayes,0.69
1,10,Random Forest,0.69
1,10,SVC,0.69
1,50,Logistic Regression,0.79
1,50,Naive Bayes,0.74
1,50,Random Forest,0.71
1,50,SVC,0.76
1,100,Logistic Regression,0.86
1,100,Naive Bayes,0.76
1,100,Random Forest,0.76
1,100,SVC,0.81
1,500,Logistic Regression,0.9
1,500,Naive Bayes,0.76
1,500,Random Forest,0.79
1,500,SVC,0.86
1,2000,Logistic Regression,0.93
1,2000,Naive Bayes,0.83
1,2000,Random Forest,0.79
1,2000,SVC,0.9
1,5000,Logistic Regression,0.88
1,5000,Naive Bayes,0.81
1,5000,Random Forest,0.74
1,5000,SVC,0.88
1,All,Logistic Regression,0.64
1,All,Naive Bayes,0.71
1,All,Random Forest,0.71
1,All,SVC,0.67
2,1,Logistic Regression,0.64
2,1,Naive Bayes,0.64
2,1,Random Forest,0.64
2,1,SVC,0.64
2,10,Logistic Regression,0.81
2,10,Naive Bayes,0.74
2,10,Random Forest,0.86
2,10,SVC,0.88
2,50,Logistic Regression,0.95
2,50,Naive Bayes,0.81
2,50,Random Forest,0.83
2,50,SVC,0.93
2,100,Logistic Regression,0.98
2,100,Naive Bayes,0.79
2,100,Random Forest,0.88
2,100,SVC,0.93
2,500,Logistic Regression,1.0
2,500,Naive Bayes,0.79
2,500,Random Forest,0.83
2,500,SVC,0.98
2,2000,Logistic Regression,1.0
2,2000,Naive Bayes,0.86
2,2000,Random Forest,0.83
2,2000,SVC,0.95
2,5000,Logistic Regression,0.98
2,5000,Naive Bayes,0.88
2,5000,Random Forest,0.83
2,5000,SVC,1.0
2,All,Logistic Regression,0.71
2,All,Naive Bayes,0.79
2,All,Random Forest,0.79
2,All,SVC,0.69
3,1,Logistic Regression,0.67
3,1,Naive Bayes,0.57
3,1,Random Forest,0.67
3,1,SVC,0.67
3,10,Logistic Regression,0.81
3,10,Naive Bayes,0.71
3,10,Random Forest,0.79
3,10,SVC,0.81
3,50,Logistic Regression,0.9
3,50,Naive Bayes,0.76
3,50,Random Forest,0.79
3,50,SVC,0.88
3,100,Logistic Regression,0.79
3,100,Naive Bayes,0.71
3,100,Random Forest,0.81
3,100,SVC,0.79
3,500,Logistic Regression,0.88
3,500,Naive Bayes,0.74
3,500,Random Forest,0.74
3,500,SVC,0.95
3,2000,Logistic Regression,0.95
3,2000,Naive Bayes,0.79
3,2000,Random Forest,0.86
3,2000,SVC,0.93
3,5000,Logistic Regression,0.93
3,5000,Naive Bayes,0.83
3,5000,Random Forest,0.81
3,5000,SVC,0.93
3,All,Logistic Regression,0.71
3,All,Naive Bayes,0.74
3,All,Random Forest,0.71
3,All,SVC,0.71
4,1,Logistic Regression,0.67
4,1,Naive Bayes,0.67
4,1,Random Forest,0.67
4,1,SVC,0.67
4,10,Logistic Regression,0.76
4,10,Naive Bayes,0.76
4,10,Random Forest,0.81
4,10,SVC,0.79
4,50,Logistic Regression,0.83
4,50,Naive Bayes,0.81
4,50,Random Forest,0.86
4,50,SVC,0.86
4,100,Logistic Regression,0.95
4,100,Naive Bayes,0.86
4,100,Random Forest,0.88
4,100,SVC,0.93
4,500,Logistic Regression,0.88
4,500,Naive Bayes,0.83
4,500,Random Forest,0.83
4,500,SVC,0.9
4,2000,Logistic Regression,0.95
4,2000,Naive Bayes,0.88
4,2000,Random Forest,0.9
4,2000,SVC,0.9
4,5000,Logistic Regression,0.98
4,5000,Naive Bayes,0.88
4,5000,Random Forest,0.88
4,5000,SVC,0.98
4,All,Logistic Regression,0.71
4,All,Naive Bayes,0.79
4,All,Random Forest,0.76
4,All,SVC,0.74
5,1,Logistic Regression,0.6
5,1,Naive Bayes,0.57
5,1,Random Forest,0.6
5,1,SVC,0.6
5,10,Logistic Regression,0.9
5,10,Naive Bayes,0.9
5,10,Random Forest,0.9
5,10,SVC,0.95
5,50,Logistic Regression,0.9
5,50,Naive Bayes,0.9
5,50,Random Forest,0.93
5,50,SVC,0.9
5,100,Logistic Regression,0.9
5,100,Naive Bayes,0.9
5,100,Random Forest,0.93
5,100,SVC,0.9
5,500,Logistic Regression,0.95
5,500,Naive Bayes,0.9
5,500,Random Forest,0.9
5,500,SVC,0.98
5,2000,Logistic Regression,1.0
5,2000,Naive Bayes,0.93
5,2000,Random Forest,0.93
5,2000,SVC,1.0
5,5000,Logistic Regression,0.95
5,5000,Naive Bayes,0.95
5,5000,Random Forest,0.93
5,5000,SVC,0.95
5,All,Logistic Regression,0.69
5,All,Naive Bayes,0.83
5,All,Random Forest,0.83
5,All,SVC,0.79
6,1,Logistic Regression,0.69
6,1,Naive Bayes,0.69
6,1,Random Forest,0.69
6,1,SVC,0.69
6,10,Logistic Regression,0.86
6,10,Naive Bayes,0.81
6,10,Random Forest,0.79
6,10,SVC,0.86
6,50,Logistic Regression,0.93
6,50,Naive Bayes,0.83
