cv_fold,snp_count,model,score
1,10,Ridge,0.69
1,10,Lasso,0.69
1,10,ElasticNet,0.69
1,10,Random Forest,0.61
1,10,SVR,0.68
1,52,Ridge,0.75
1,52,Lasso,0.69
1,52,ElasticNet,0.75
1,52,Random Forest,0.65
1,52,SVR,0.77
1,100,Ridge,0.77
1,100,Lasso,0.67
1,100,ElasticNet,0.76
1,100,Random Forest,0.69
1,100,SVR,0.77
1,500,Ridge,0.78
1,500,Lasso,0.63
1,500,ElasticNet,0.77
1,500,Random Forest,0.76
1,500,SVR,0.83
1,2000,Ridge,0.73
1,2000,Lasso,0.61
1,2000,ElasticNet,0.86
1,2000,Random Forest,0.72
1,2000,SVR,0.86
1,5000,Ridge,0.79
1,5000,Lasso,0.59
1,5000,ElasticNet,0.83
1,5000,Random Forest,0.73
1,5000,SVR,0.85
1,10000,Ridge,0.84
1,10000,Lasso,0.55
1,10000,ElasticNet,0.85
1,10000,Random Forest,0.73
1,10000,SVR,0.87
1,All,Ridge,0.44
1,All,Lasso,0.49
1,All,ElasticNet,0.49
1,All,Random Forest,0.49
1,All,SVR,0.53
2,10,Ridge,0.64
2,10,Lasso,0.64
2,10,ElasticNet,0.64
2,10,Random Forest,0.61
2,10,SVR,0.64
2,52,Ridge,0.82
2,52,Lasso,0.71
2,52,ElasticNet,0.81
2,52,Random Forest,0.74
2,52,SVR,0.8
2,100,Ridge,0.82
2,100,Lasso,0.72
2,100,ElasticNet,0.82
2,100,Random Forest,0.78
2,100,SVR,0.8
2,500,Ridge,0.76
2,500,Lasso,0.73
2,500,ElasticNet,0.87
2,500,Random Forest,0.77
2,500,SVR,0.88
2,2000,Ridge,0.73
2,2000,Lasso,0.68
2,2000,ElasticNet,0.85
2,2000,Random Forest,0.76
2,2000,SVR,0.88
2,5000,Ridge,0.85
2,5000,Lasso,0.63
2,5000,ElasticNet,0.86
2,5000,Random Forest,0.78
2,5000,SVR,0.91
2,10000,Ridge,0.91
2,10000,Lasso,0.64
2,10000,ElasticNet,0.9
2,10000,Random Forest,0.75
2,10000,SVR,0.93
2,All,Ridge,0.49
2,All,Lasso,0.49
2,All,ElasticNet,0.63
2,All,Random Forest,0.56
2,All,SVR,0.49
3,10,Ridge,0.71
3,10,Lasso,0.72
3,10,ElasticNet,0.72
3,10,Random Forest,0.68
3,10,SVR,0.73
3,52,Ridge,0.81
3,52,Lasso,0.72
3,52,ElasticNet,0.82
3,52,Random Forest,0.7
3,52,SVR,0.77
3,100,Ridge,0.78
3,100,Lasso,0.72
3,100,ElasticNet,0.83
3,100,Random Forest,0.74
3,100,SVR,0.74
3,500,Ridge,0.84
3,500,Lasso,0.68
3,500,ElasticNet,0.88
3,500,Random Forest,0.72
3,500,SVR,0.86
3,2000,Ridge,0.64
3,2000,Lasso,0.7
3,2000,ElasticNet,0.88
3,2000,Random Forest,0.76
3,2000,SVR,0.9
3,5000,Ridge,0.88
3,5000,Lasso,0.61
3,5000,ElasticNet,0.87
3,5000,Random Forest,0.74
3,5000,SVR,0.89
3,10000,Ridge,0.9
3,10000,Lasso,0.66
3,10000,ElasticNet,0.88
3,10000,Random Forest,0.74
3,10000,SVR,0.92
3,All,Ridge,0.51
3,All,Lasso,0.56
3,All,ElasticNet,0.5
3,All,Random Forest,0.55
3,All,SVR,0.55
4,10,Ridge,0.76
4,10,Lasso,0.76
4,10,ElasticNet,0.76
4,10,Random Forest,0.72
4,10,SVR,0.78
4,52,Ridge,0.83
4,52,Lasso,0.76
4,52,ElasticNet,0.84
4,52,Random Forest,0.77
4,52,SVR,0.77
4,100,Ridge,0.8
4,100,Lasso,0.77
4,100,ElasticNet,0.83
4,100,Random Forest,0.8
4,100,SVR,0.78
4,500,Ridge,0.82
4,500,Lasso,0.78
4,500,ElasticNet,0.85
4,500,Random Forest,0.8
4,500,SVR,0.85
4,2000,Ridge,0.61
4,2000,Lasso,0.75
4,2000,ElasticNet,0.87
4,2000,Random Forest,0.79
4,2000,SVR,0.88
4,5000,Ridge,0.82
4,5000,Lasso,0.67
4,5000,ElasticNet,0.87
4,5000,Random Forest,0.83
4,5000,SVR,0.89
4,10000,Ridge,0.91
4,10000,Lasso,0.73
4,10000,ElasticNet,0.91
4,10000,Random Forest,0.82
4,10000,SVR,0.92
4,All,Ridge,0.49
4,All,Lasso,0.51
4,All,ElasticNet,0.74
4,All,Random Forest,0.66
4,All,SVR,0.6
5,10,Ridge,0.79
5,10,Lasso,0.79
5,10,ElasticNet,0.79
5,10,Random Forest,0.72
5,10,SVR,0.78
5,52,Ridge,0.86
5,52,Lasso,0.78
5,52,ElasticNet,0.86
5,52,Random Forest,0.8
5,52,SVR,0.81
5,100,Ridge,0.87
5,100,Lasso,0.77
5,100,ElasticNet,0.86
5,100,Random Forest,0.83
5,100,SVR,0.88
5,500,Ridge,0.87
5,500,Lasso,0.81
5,500,ElasticNet,0.91
5,500,Random Forest,0.86
5,500,SVR,0.91
5,2000,Ridge,0.71
5,2000,Lasso,0.76
5,2000,ElasticNet,0.92
5,2000,Random Forest,0.83
5,2000,SVR,0.92
5,5000,Ridge,0.91
5,5000,Lasso,0.69
5,5000,ElasticNet,0.91
5,5000,Random Forest,0.81
5,5000,SVR,0.93
5,10000,Ridge,0.91
5,10000,Lasso,0.68
5,10000,ElasticNet,0.9
5,10000,Random Forest,0.8
5,10000,SVR,0.94
5,All,Ridge,0.43
5,All,Lasso,0.39
5,All,ElasticNet,0.51
5,All,Random Forest,0.55
5,All,SVR,0.51
6,10,Ridge,0.76
6,10,Lasso,0.76
6,10,ElasticNet,0.76
6,10,Random Forest,0.77
6,10,SVR,0.77
6,52,Ridge,0.71
6,52,Lasso,0.67
6,52,ElasticNet,0.71
6,52,Random Forest,0.7
6,52,SVR,0.65
6,100,Ridge,0.79
6,100,Lasso,0.68
6,100,ElasticNet,0.8
6,100,Random Forest,0.79
6,100,SVR,0.77
6,500,Ridge,0.82
6,500,Lasso,0.73
6,500,ElasticNet,0.87
6,500,Random Forest,0.82
6,500,SVR,0.88
6,2000,Ridge,0.7
6,2000,Lasso,0.71
6,2000,ElasticNet,0.91
6,2000,Random Forest,0.78
6,2000,SVR,0.92
6,5000,Ridge,0.9
6,5000,Lasso,0.57
6,5000,ElasticNet,0.91
6,5000,Random Forest,0.79
6,5000,SVR,0.91
6,10000,Ridge,0.91
6,10000,Lasso,0.67
6,10000,ElasticNet,0.89
6,10000,Random Forest,0.76
6,10000,SVR,0.93
